StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q5_1_1,Q5_1_2,Q5_1_8,Q5_2_1,Q5_2_2,Q5_2_8,Q5_3_1,Q5_3_2,Q5_3_8,Q5_4_1,Q5_4_2,Q5_4_8,Q5_5_1,Q5_5_2,Q5_5_8,Q5_6_1,Q5_6_2,Q5_6_8,Q5_7_1,Q5_7_2,Q5_7_8,Q5_8_1,Q5_8_2,Q5_8_8,Q5_9_1,Q5_9_2,Q5_9_8,Q5_10_1,Q5_10_2,Q5_10_8,Q5_11_1,Q5_11_2,Q5_11_8,Q5_12_1,Q5_12_2,Q5_12_8,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q14,Q16,Q17,Q18,Q19,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,SC0,study_id,uid
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please indicate how much you agree or disagree with the following statements about your experience with the chatbot. - The chatbot can express emotions.,Please indicate how much you agree or disagree with the following statements about your experience with the chatbot. - The chatbot has emotional intelligence.,Please indicate how much you agree or disagree with the following statements about your experience with the chatbot. - I found the chatbot to be trustworthy.,Please indicate how much you agree or disagree with the following statements about your experience with the chatbot. - I felt safe sharing with the chatbot.,Please indicate how much you agree or disagree with the following statements about your experience with the chatbot. - The chatbot responded in a caring way.,Please indicate how much you agree or disagree with the following statements about your experience with the chatbot. - The chatbot understood how I was feeling.,Please indicate how much you agree or disagree with the following statements about your experience with the chatbot. - The chatbot made me feel emotionally supported.,"For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 1.	When I feel upset, I would consider confiding in ______. - Baseline Chatbot","For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 1.	When I feel upset, I would consider confiding in ______. - Factual Chatbot","For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 1.	When I feel upset, I would consider confiding in ______. - Emotional Chatbot","For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 2.	I prefer not to talk about my problems, even with ______. - Baseline Chatbot","For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 2.	I prefer not to talk about my problems, even with ______. - Factual Chatbot","For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 2.	I prefer not to talk about my problems, even with ______. - Emotional Chatbot","For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 3.	When something unpleasant happens to me, I would be open to discussing it with ______. - Baseline Chatbot","For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 3.	When something unpleasant happens to me, I would be open to discussing it with ______. - Factual Chatbot","For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 3.	When something unpleasant happens to me, I would be open to discussing it with ______. - Emotional Chatbot","For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 4.	I typically don’t discuss things that upset me with ______. - Baseline Chatbot","For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 4.	I typically don’t discuss things that upset me with ______. - Factual Chatbot","For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 4.	I typically don’t discuss things that upset me with ______. - Emotional Chatbot","For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 5.	When I feel depressed or sad, I tend to keep those feelings to myself rather than tell ______. - Baseline Chatbot","For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 5.	When I feel depressed or sad, I tend to keep those feelings to myself rather than tell ______. - Factual Chatbot","For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 5.	When I feel depressed or sad, I tend to keep those feelings to myself rather than tell ______. - Emotional Chatbot","For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 6.	I try to use ______ to talk about my problems when I don’t want to involve other people. - Baseline Chatbot","For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 6.	I try to use ______ to talk about my problems when I don’t want to involve other people. - Factual Chatbot","For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 6.	I try to use ______ to talk about my problems when I don’t want to involve other people. - Emotional Chatbot","For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 7.	When I am in a bad mood, I might share that with ______. - Baseline Chatbot","For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 7.	When I am in a bad mood, I might share that with ______. - Factual Chatbot","For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 7.	When I am in a bad mood, I might share that with ______. - Emotional Chatbot","For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 8.	If I have a bad day, I am not interested in telling ______ about it. - Baseline Chatbot","For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 8.	If I have a bad day, I am not interested in telling ______ about it. - Factual Chatbot","For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 8.	If I have a bad day, I am not interested in telling ______ about it. - Emotional Chatbot","For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 9.	I rarely consider using ______ to talk through my problems. - Baseline Chatbot","For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 9.	I rarely consider using ______ to talk through my problems. - Factual Chatbot","For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 9.	I rarely consider using ______ to talk through my problems. - Emotional Chatbot","For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 10.	When I’m distressed, I don’t think ______ could help me by listening. - Baseline Chatbot","For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 10.	When I’m distressed, I don’t think ______ could help me by listening. - Factual Chatbot","For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 10.	When I’m distressed, I don’t think ______ could help me by listening. - Emotional Chatbot","For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 11.	I am likely to turn to ______ when I am in a bad mood and want to express my thoughts. - Baseline Chatbot","For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 11.	I am likely to turn to ______ when I am in a bad mood and want to express my thoughts. - Factual Chatbot","For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 11.	I am likely to turn to ______ when I am in a bad mood and want to express my thoughts. - Emotional Chatbot","For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 12. I am willing to share distressing thoughts with ______ if I feel understood. - Baseline Chatbot","For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 12. I am willing to share distressing thoughts with ______ if I feel understood. - Factual Chatbot","For each statement below, rate how well each chatbot fits in the blank using a scale from 1 (Strongly Disagree) to 7 (Strongly Agree). - 12. I am willing to share distressing thoughts with ______ if I feel understood. - Emotional Chatbot","Based on your interaction with the chatbot, please answer the following questions - I understood how my data would be used","Based on your interaction with the chatbot, please answer the following questions - I felt informed about my rights regarding data privacy","Based on your interaction with the chatbot, please answer the following questions - I believe my data will be handled responsibly","Based on your interaction with the chatbot, please answer the following questions - I was clear on how long my data would be retained","Based on your interaction with the chatbot, please answer the following questions - I understood how my data would be stored",Please indicate how you perceive the chatbot based on a scale from Fake to Natural.,Please indicate how you perceive the chatbot based on a scale from Machinelike to Humanlike.,Please indicate how you perceive the chatbot based on a scale from Unconscious to Conscious.,Please indicate how you perceive the chatbot based on a scale from Artificial to Lifelike.,Please indicate how you perceive the chatbot based on a scale from Communicating rigidly to Communicating elegantly.,Please indicate how much you agree or disagree with the following statements by selecting the response that best represents your opinion. - The chatbot seemed to have emotions.,Please indicate how much you agree or disagree with the following statements by selecting the response that best represents your opinion. - The chatbot behaved in a human-like manner.,Please indicate how much you agree or disagree with the following statements by selecting the response that best represents your opinion. - The chatbot’s communication style reminded me of a human.,Please indicate how much you agree or disagree with the following statements by selecting the response that best represents your opinion. - The chatbot appeared to be self-aware or intentional in its responses.,Please indicate how much you agree or disagree with the following statements by selecting the response that best represents your opinion. - I felt as if I were interacting with another person.,Score,study_id,uid
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID13_6""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_11""}","{""ImportId"":""QID13_12""}","{""ImportId"":""QID5_1_1""}","{""ImportId"":""QID5_1_2""}","{""ImportId"":""QID5_1_8""}","{""ImportId"":""QID5_18_1""}","{""ImportId"":""QID5_18_2""}","{""ImportId"":""QID5_18_8""}","{""ImportId"":""QID5_19_1""}","{""ImportId"":""QID5_19_2""}","{""ImportId"":""QID5_19_8""}","{""ImportId"":""QID5_20_1""}","{""ImportId"":""QID5_20_2""}","{""ImportId"":""QID5_20_8""}","{""ImportId"":""QID5_21_1""}","{""ImportId"":""QID5_21_2""}","{""ImportId"":""QID5_21_8""}","{""ImportId"":""QID5_22_1""}","{""ImportId"":""QID5_22_2""}","{""ImportId"":""QID5_22_8""}","{""ImportId"":""QID5_23_1""}","{""ImportId"":""QID5_23_2""}","{""ImportId"":""QID5_23_8""}","{""ImportId"":""QID5_24_1""}","{""ImportId"":""QID5_24_2""}","{""ImportId"":""QID5_24_8""}","{""ImportId"":""QID5_25_1""}","{""ImportId"":""QID5_25_2""}","{""ImportId"":""QID5_25_8""}","{""ImportId"":""QID5_26_1""}","{""ImportId"":""QID5_26_2""}","{""ImportId"":""QID5_26_8""}","{""ImportId"":""QID5_27_1""}","{""ImportId"":""QID5_27_2""}","{""ImportId"":""QID5_27_8""}","{""ImportId"":""QID5_28_1""}","{""ImportId"":""QID5_28_2""}","{""ImportId"":""QID5_28_8""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID36_4""}","{""ImportId"":""QID36_13""}","{""ImportId"":""QID36_5""}","{""ImportId"":""QID36_14""}","{""ImportId"":""QID28""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID34_2""}","{""ImportId"":""QID34_3""}","{""ImportId"":""QID34_6""}","{""ImportId"":""QID34_7""}","{""ImportId"":""SC_dbz6O9JkRGdVq4u""}","{""ImportId"":""study_id""}","{""ImportId"":""uid""}"
2025-05-11 22:21:58,2025-05-11 22:21:58,IP Address,46.129.29.18,100,0,True,2025-05-11 22:21:59,R_22L5TDb3qWsudcJ,,,,,52.0134,4.3655,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,R_2OUJFch0hxm6W4c
2025-05-11 22:22:30,2025-05-11 22:22:30,IP Address,46.129.29.18,100,0,True,2025-05-11 22:22:30,R_8FmRg7NY5SmeMuX,,,,,52.0134,4.3655,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,R_2OUJFch0hxm6W4c
2025-05-12 22:55:45,2025-05-12 22:55:45,IP Address,46.129.29.18,100,0,True,2025-05-12 22:55:46,R_2L5BnlmKepD4cYF,,,,,52.0134,4.3655,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,7psnwgzmwi5
2025-05-12 23:04:13,2025-05-12 23:04:13,IP Address,46.129.29.18,100,0,True,2025-05-12 23:04:13,R_81WVfDa4MrKb0Yg,,,,,52.0134,4.3655,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,7psnwgzmwi5
2025-05-13 13:47:27,2025-05-13 13:47:27,IP Address,145.94.139.170,100,0,True,2025-05-13 13:47:28,R_23daUHT015Aa8bY,,,,,52.0038,4.3733,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,1k3htzdba4r
2025-05-13 14:14:16,2025-05-13 14:14:16,Survey Preview,,100,0,True,2025-05-13 14:14:17,R_2MDpSByM0AKNlQl,,,,,52.0038,4.3733,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-13 14:14:26,2025-05-13 14:14:26,Survey Preview,,100,0,True,2025-05-13 14:14:26,R_2woz7dgw8xQl06C,,,,,52.0038,4.3733,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-13 14:14:28,2025-05-13 14:14:28,Survey Preview,,100,0,True,2025-05-13 14:14:28,R_2qaiSDW55G7K9cj,,,,,52.0038,4.3733,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-16 20:21:20,2025-05-16 20:21:20,IP Address,145.94.182.201,100,0,True,2025-05-16 20:21:21,R_8CEmxZAF0Ef1l24,,,,,52.0054,4.3954,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,9us9krkbd7
2025-05-16 21:56:46,2025-05-16 21:57:21,IP Address,46.129.29.18,100,35,True,2025-05-16 21:57:22,R_8OTxqiJeW4MIquF,,,,,52.0134,4.3655,anonymous,EN,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,cdb16174-c026-4f93-aa82-55c98c745558,uzpy6cbl44
2025-05-17 00:41:34,2025-05-17 00:41:34,IP Address,94.211.41.160,100,0,True,2025-05-17 00:41:34,R_8I2iaC4KHRH3kmR,,,,,52.0804,4.3128,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-17 00:43:27,2025-05-17 00:43:27,IP Address,94.211.41.160,100,0,True,2025-05-17 00:43:27,R_8ROJPXBtRlj6NzP,,,,,52.0804,4.3128,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,qmfbbrm0clb
2025-05-17 00:43:38,2025-05-17 00:43:38,IP Address,94.211.41.160,100,0,True,2025-05-17 00:43:38,R_8WPh3fegbZD6ras,,,,,52.0804,4.3128,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,qmfbbrm0clb
2025-05-17 00:44:50,2025-05-17 00:44:50,IP Address,83.86.207.64,100,0,True,2025-05-17 00:44:51,R_2cILDw2UfK3CFot,,,,,51.9905,4.3364,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,qmfbbrm0clb
2025-05-17 00:44:55,2025-05-17 00:44:55,IP Address,83.86.207.64,100,0,True,2025-05-17 00:44:55,R_24aP1NL2DKelVLj,,,,,51.9905,4.3364,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,qmfbbrm0clb
2025-05-17 00:50:30,2025-05-17 00:50:30,IP Address,94.211.41.160,100,0,True,2025-05-17 00:50:31,R_2mdUV6LbudZvUbe,,,,,52.0804,4.3128,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${studyId}`,${uid}
2025-05-17 00:52:03,2025-05-17 00:52:03,IP Address,83.86.207.64,100,0,True,2025-05-17 00:52:03,R_8PhSpbfC1vupDRo,,,,,51.9905,4.3364,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${studyId}`,${uid}
2025-05-17 01:14:31,2025-05-17 01:14:31,IP Address,54.198.55.229,100,0,True,2025-05-17 01:14:31,R_1Bro5MX40B7GVO6,,,,,39.0469,-77.4903,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-17 01:53:05,2025-05-17 01:53:05,IP Address,83.86.207.64,100,0,True,2025-05-17 01:53:05,R_8CN0m2ItResyUam,,,,,51.9905,4.3364,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${studyId}`,${uid}
2025-05-21 16:35:32,2025-05-21 16:35:32,Survey Preview,,100,0,True,2025-05-21 16:35:32,R_8mgUZWHWJaFKbUK,,,,,51.9905,4.3364,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-21 16:38:44,2025-05-21 16:39:04,IP Address,83.86.207.64,100,20,True,2025-05-21 16:39:04,R_8vA7ofUv1hBKmjv,,,,,51.9905,4.3364,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural (5),Humanlike (5),Conscious (5),Lifelike (5),Communicating elegantly (5),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,R_8I46ilm9FCWgZMB
2025-05-21 16:42:31,2025-05-21 16:42:44,IP Address,83.86.207.64,100,13,True,2025-05-21 16:42:45,R_2BzkvWVfbBIASXb,,,,,51.9905,4.3364,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural (5),Humanlike (5),Conscious (5),Lifelike (5),Communicating elegantly (5),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,R_2C8CJdVPw00mmq1
